film,category,value
Toy Story,Genre,Adventure
Toy Story,Genre,Animation
Toy Story,Genre,Comedy
Toy Story,Subgenre,Buddy Comedy
Toy Story,Subgenre,Computer Animation
Toy Story,Subgenre,Fantasy
Toy Story,Subgenre,Supernatural Fantasy
Toy Story,Subgenre,Urban Adventure
A Bug's Life,Genre,Adventure
A Bug's Life,Genre,Animation
A Bug's Life,Genre,Comedy
A Bug's Life,Subgenre,Animal Adventure
A Bug's Life,Subgenre,Computer Animation
A Bug's Life,Subgenre,Quest
Toy Story 2,Genre,Adventure
Toy Story 2,Genre,Animation
Toy Story 2,Genre,Comedy
Toy Story 2,Subgenre,Computer Animation
Toy Story 2,Subgenre,Fantasy
Toy Story 2,Subgenre,Quest
Toy Story 2,Subgenre,Supernatural Fantasy
Toy Story 2,Subgenre,Urban Adventure
"Monsters, Inc.",Genre,Adventure
"Monsters, Inc.",Genre,Animation
"Monsters, Inc.",Genre,Comedy
"Monsters, Inc.",Subgenre,Buddy Comedy
"Monsters, Inc.",Subgenre,Computer Animation
"Monsters, Inc.",Subgenre,Fantasy
"Monsters, Inc.",Subgenre,Supernatural Fantasy
"Monsters, Inc.",Subgenre,Urban Adventure
Finding Nemo,Genre,Adventure
Finding Nemo,Genre,Animation
Finding Nemo,Genre,Comedy
Finding Nemo,Subgenre,Animal Adventure
Finding Nemo,Subgenre,Buddy Comedy
Finding Nemo,Subgenre,Computer Animation
Finding Nemo,Subgenre,Quest
Finding Nemo,Subgenre,Sea Adventure
The Incredibles,Genre,Action
The Incredibles,Genre,Adventure
The Incredibles,Genre,Animation
The Incredibles,Subgenre,Computer Animation
The Incredibles,Subgenre,Superhero
The Incredibles,Subgenre,Urban Adventure
Cars,Genre,Adventure
Cars,Genre,Animation
Cars,Genre,Comedy
Cars,Subgenre,Computer Animation
Cars,Subgenre,Motorsport
Cars,Subgenre,Sport
Ratatouille,Genre,Adventure
Ratatouille,Genre,Animation
Ratatouille,Genre,Comedy
Ratatouille,Subgenre,Animal Adventure
Ratatouille,Subgenre,Computer Animation
Ratatouille,Subgenre,Fantasy
WALL-E,Genre,Adventure
WALL-E,Genre,Animation
WALL-E,Genre,Family
WALL-E,Subgenre,Adventure Epic
WALL-E,Subgenre,Artificial Intelligence
WALL-E,Subgenre,Computer Animation
WALL-E,Subgenre,Dystopian Sci-Fi
WALL-E,Subgenre,Sci-Fi
WALL-E,Subgenre,Space Sci-Fi
Up,Genre,Adventure
Up,Genre,Animation
Up,Genre,Comedy
Up,Subgenre,Coming-of-Age
Up,Subgenre,Computer Animation
Up,Subgenre,Globetrotting Adventure
Toy Story 3,Genre,Adventure
Toy Story 3,Genre,Animation
Toy Story 3,Genre,Comedy
Toy Story 3,Subgenre,Computer Animation
Toy Story 3,Subgenre,Fantasy
Toy Story 3,Subgenre,Supernatural Fantasy
Toy Story 3,Subgenre,Urban Adventure
Cars 2,Genre,Adventure
Cars 2,Genre,Animation
Cars 2,Genre,Comedy
Cars 2,Subgenre,Car Action
Cars 2,Subgenre,Computer Animation
Cars 2,Subgenre,Crime
Cars 2,Subgenre,Motorsport
Cars 2,Subgenre,Sport
Cars 2,Subgenre,Spy
Brave,Genre,Action
Brave,Genre,Adventure
Brave,Genre,Animation
Brave,Subgenre,Coming-of-Age
Brave,Subgenre,Computer Animation
Brave,Subgenre,Fairy Tale
Brave,Subgenre,Quest
Brave,Subgenre,Sword & Sorcery
Brave,Subgenre,Teen Adventure
Monsters University,Genre,Adventure
Monsters University,Genre,Animation
Monsters University,Genre,Comedy
Monsters University,Subgenre,Computer Animation
Monsters University,Subgenre,Fantasy
Inside Out,Genre,Adventure
Inside Out,Genre,Animation
Inside Out,Genre,Comedy
Inside Out,Subgenre,Coming-of-Age
Inside Out,Subgenre,Computer Animation
Inside Out,Subgenre,Fantasy
The Good Dinosaur,Genre,Action
The Good Dinosaur,Genre,Adventure
The Good Dinosaur,Genre,Animation
The Good Dinosaur,Subgenre,Animal Adventure
The Good Dinosaur,Subgenre,Buddy Comedy
The Good Dinosaur,Subgenre,Computer Animation
The Good Dinosaur,Subgenre,Dinosaur Adventure
Finding Dory,Genre,Adventure
Finding Dory,Genre,Animation
Finding Dory,Genre,Comedy
Finding Dory,Subgenre,Animal Adventure
Finding Dory,Subgenre,Computer Animation
Finding Dory,Subgenre,Fantasy
Finding Dory,Subgenre,Sea Adventure
Cars 3,Genre,Adventure
Cars 3,Genre,Animation
Cars 3,Genre,Comedy
Cars 3,Subgenre,Car Action
Cars 3,Subgenre,Computer Animation
Cars 3,Subgenre,Motorsport
Cars 3,Subgenre,Sport
Coco,Genre,Adventure
Coco,Genre,Animation
Coco,Genre,Drama
Coco,Subgenre,Computer Animation
Coco,Subgenre,Fantasy
Coco,Subgenre,Music
Coco,Subgenre,Mystery
Coco,Subgenre,Supernatural Fantasy
Incredibles 2,Genre,Action
Incredibles 2,Genre,Adventure
Incredibles 2,Genre,Animation
Incredibles 2,Subgenre,Computer Animation
Incredibles 2,Subgenre,Sci-Fi
Incredibles 2,Subgenre,Superhero
Incredibles 2,Subgenre,Urban Adventure
Toy Story 4,Genre,Adventure
Toy Story 4,Genre,Animation
Toy Story 4,Genre,Comedy
Toy Story 4,Subgenre,Computer Animation
Toy Story 4,Subgenre,Fantasy
Toy Story 4,Subgenre,Road Trip
Toy Story 4,Subgenre,Supernatural Fantasy
Toy Story 4,Subgenre,Urban Adventure
Onward,Genre,Adventure
Onward,Genre,Animation
Onward,Genre,Comedy
Onward,Subgenre,Computer Animation
Onward,Subgenre,Fantasy Epic
Onward,Subgenre,Quest
Onward,Subgenre,Supernatural Fantasy
Onward,Subgenre,Sword & Sorcery
Soul,Genre,Adventure
Soul,Genre,Animation
Soul,Genre,Comedy
Soul,Subgenre,Computer Animation
Soul,Subgenre,Fantasy
Soul,Subgenre,Music
Luca,Genre,Adventure
Luca,Genre,Animation
Luca,Genre,Comedy
Luca,Subgenre,Coming-of-Age
Luca,Subgenre,Computer Animation
Luca,Subgenre,Fairy Tale
Luca,Subgenre,Fantasy
Luca,Subgenre,Sea Adventure
Turning Red,Genre,Adventure
Turning Red,Genre,Animation
Turning Red,Genre,Comedy
Turning Red,Subgenre,Coming-of-Age
Turning Red,Subgenre,Computer Animation
Turning Red,Subgenre,Fantasy
Turning Red,Subgenre,Music
Turning Red,Subgenre,Teen Comedy
Lightyear,Genre,Action
Lightyear,Genre,Adventure
Lightyear,Genre,Animation
Lightyear,Subgenre,Computer Animation
Lightyear,Subgenre,Sci-Fi
Lightyear,Subgenre,Space Sci-Fi
Lightyear,Subgenre,Superhero
Lightyear,Subgenre,Time Travel
Elemental,Genre,Adventure
Elemental,Genre,Animation
Elemental,Genre,Comedy
Elemental,Subgenre,Computer Animation
Elemental,Subgenre,Fantasy
Elemental,Subgenre,Romance
Elemental,Subgenre,Urban Adventure
Inside Out 2,Genre,Adventure
Inside Out 2,Genre,Animation
Inside Out 2,Genre,Comedy
Inside Out 2,Subgenre,Coming-of-Age
Inside Out 2,Subgenre,Computer Animation
Inside Out 2,Subgenre,Quest
Inside Out 2,Subgenre,Teen Comedy
Inside Out 2,Subgenre,Teen Drama
